ID_Pedido,Fecha_Pedido,Ciudad_Destino,Zona_Entrega,Tipo_Flor,Variedad_Flor,Calidad_Producto,Cantidad_Tallos,Precio_Unitario_USD,Canal_Venta,Cliente_Corporativo,Metodo_Pago,Estado_Pedido,Costo_Envio_USD,Tipo_Empaque,Peso_Kg,Temperatura_Contenedor_C,Humedad_Relativa_Pct,Dias_En_Florero_Garantizados,Codigo_Arancelario,Inspeccion_Fitosanitaria,Sello_Sostenibilidad,Id_Cultivo_Origen,Calificacion_Cliente,Comentario_Cliente_PQRS,Dias_Atraso_Entrega,Diferencia_Tallos_Facturados_vs_Recibidos,Alerta_Ruptura_Cadena_Frio,Requiere_Soporte_Legal_Aduana,Total_Venta_USD,Categoria_PQRS_Validada
FAC-100010,2025-12-13,Bogotá,Zona Sur,Orquídea,Orquídea Exportación,Estándar,1944,1.78,Exportación EE.UU.,Cliente_17,PayPal,Retenido en Aduana,237.86,Ramo Individual,25.89,5.9,98,5,0603.12.00,Rechazado,Ninguno,FINCA-4,5,Faltaron 5 docenas de claveles en la caja master,0,0,NO,SI,3698.18,Petición
FAC-100011,2026-01-15,Cali,Palmira,Girasol,Girasol Exportación,Segunda,5088,1.83,Mercado Local,Cliente_40,Carta de Crédito,Retenido en Aduana,135.37,Ramo Individual,58.54,8.6,78,13,0603.12.00,Aprobado,Ninguno,FINCA-1,3,Deberían implementar empaques biodegradables,2,0,SI,SI,9446.41,Reclamo
FAC-100012,2026-04-02,Bogotá,Sabana Occidente,Clavel,Clavel Exportación,Estándar,5868,0.4,Mercado Local,Cliente_39,Tarjeta de Crédito,Pendiente,214.62,Ramo Individual,58.36,3.7,80,19,0603.12.00,Aprobado,Rainforest Alliance,FINCA-1,4,Solicito copia del certificado fitosanitario de exportación,0,0,SI,NO,2561.82,Reclamo
FAC-100013,2025-10-07,Bogotá,Zona Sur,Hortensia,Hortensia Exportación,Premium,1764,2.48,Mercado Local,Cliente_22,Efectivo,Pendiente,166.74,Ramo Individual,14.29,4.1,87,20,0603.12.00,Rechazado,Rainforest Alliance,FINCA-3,1,Cobro injustificado de tarifa logística en la factura,0,0,NO,SI,4541.46,Reclamo
FAC-100014,2025-02-14,Bogotá,Sabana Occidente,Hortensia,Hortensia Exportación,Segunda,1056,1.48,Exportación EE.UU.,Cliente_33,PayPal,Cancelado,56.26,Caja Master,43.14,3.4,92,14,0603.11.00,Rechazado,Florverde,FINCA-4,4,Demora de más de 3 horas en la línea de atención,0,48,NO,SI,1619.14,Reclamo
FAC-100015,2025-10-30,Cali,Zona Industrial,Rosa,Rosa Exportación,Estándar,5748,1.66,E-commerce,Cliente_37,PayPal,Retenido en Aduana,288.74,Caja Master,60.7,4.7,82,7,0603.12.00,Aprobado,Florverde,FINCA-4,3,Demora de más de 3 horas en la línea de atención,0,0,SI,SI,9830.42,Reclamo
FAC-100016,2025-08-05,Cali,Zona Industrial,Astromelia,Astromelia Exportación,Segunda,1416,0.89,Exportación Europa,Cliente_13,PayPal,En Tránsito,46.59,Caja Master,28.19,8.1,77,17,0603.12.00,Aprobado,Ninguno,FINCA-5,2,La rosa llegó marchita y sin cadena de frío,0,0,SI,NO,1306.83,Reclamo
FAC-100017,2025-01-17,Bogotá,Sabana Centro,Crisantemo,Crisantemo Exportación,Estándar,3264,0.79,Distribuidor Mayorista,Cliente_47,PayPal,Entregado,192.16,Procon (Balde),66.08,5.8,91,17,0603.11.00,Aprobado,Florverde,FINCA-4,4,Petición de estado de cuenta del último mes,0,0,NO,NO,2770.72,Sugerencia
FAC-100018,2025-01-16,Medellín,Rionegro,Girasol,Girasol Exportación,Estándar,4068,1.92,E-commerce,Cliente_26,Carta de Crédito,Cancelado,318.87,Procon (Balde),29.74,1.7,95,20,0603.12.00,Rechazado,Rainforest Alliance,FINCA-2,5,Requiero catálogo de nuevas variedades de hortensias,1,0,NO,SI,8129.43,Petición
FAC-100019,2025-02-17,Cali,Yumbo,Rosa,Rosa Exportación,Estándar,2640,0.51,Exportación Europa,Cliente_32,Tarjeta de Crédito,Cancelado,249.45,Caja Master,77.5,8.7,80,18,0603.11.00,Aprobado,Ninguno,FINCA-3,2,Requiero catálogo de nuevas variedades de hortensias,0,0,SI,NO,1595.85,Reclamo
FAC-100020,2025-04-22,Pereira,Zona Cafetera,Clavel,Clavel Exportación,Segunda,492,1.61,Distribuidor Mayorista,Cliente_19,PayPal,En Tránsito,113.14,Ramo Individual,59.32,7.2,79,19,0603.11.00,Aprobado,Florverde,FINCA-3,2,Demora de más de 3 horas en la línea de atención,0,0,SI,NO,905.26,Reclamo
FAC-100021,2025-04-30,Medellín,Valle de Aburrá,Orquídea,Orquídea Exportación,Premium,1176,1.78,Exportación EE.UU.,Cliente_11,Tarjeta de Crédito,Entregado,191.17,Caja Master,59.08,6.9,82,8,0603.11.00,Rechazado,Ninguno,FINCA-2,1,Cobro injustificado de tarifa logística en la factura,7,0,SI,SI,2284.45,Reclamo
FAC-100022,2025-09-16,Pereira,Dosquebradas,Girasol,Girasol Exportación,Premium,396,0.99,Exportación EE.UU.,Cliente_35,Carta de Crédito,Entregado,57.54,Ramo Individual,62.14,2.3,96,20,0603.12.00,Aprobado,Florverde,FINCA-2,5,Faltaron 5 docenas de claveles en la caja master,0,0,NO,NO,449.58,Sugerencia
FAC-100023,2025-11-05,Bogotá,Zona Sur,Orquídea,Orquídea Exportación,Premium,5016,1.38,Exportación EE.UU.,Cliente_47,Carta de Crédito,Entregado,261.5,Caja Master,34.14,4.7,94,18,0603.11.00,Rechazado,Ninguno,FINCA-4,1,La rosa llegó marchita y sin cadena de frío,0,0,NO,SI,7183.58,Reclamo
FAC-100024,2025-01-14,Bogotá,Zona Norte,Rosa,Rosa Exportación,Segunda,4380,2.03,E-commerce,Cliente_26,Efectivo,Pendiente,25.97,Caja Master,41.21,2.6,93,19,0603.12.00,Aprobado,Rainforest Alliance,FINCA-4,2,Demora de más de 3 horas en la línea de atención,0,0,NO,NO,8917.37,Queja
FAC-100025,2025-10-15,Bogotá,Sabana Centro,Hortensia,Hortensia Exportación,Estándar,2160,0.52,Distribuidor Mayorista,Cliente_3,Transferencia Bancaria,Retenido en Aduana,163.04,Caja Master,52.15,4.9,85,13,0603.11.00,Rechazado,Florverde,FINCA-1,1,La rosa llegó marchita y sin cadena de frío,0,0,NO,SI,1286.24,Reclamo
FAC-100026,2025-04-12,Bogotá,Sabana Occidente,Hortensia,Hortensia Exportación,Estándar,4608,0.94,Exportación Europa,Cliente_6,Carta de Crédito,Retenido en Aduana,91.83,Ramo Individual,24.85,5.4,78,19,0603.11.00,Aprobado,Rainforest Alliance,FINCA-5,1,El asesor comercial fue grosero al teléfono,5,0,SI,SI,4423.35,Reclamo
FAC-100027,2026-01-02,Bogotá,Zona Sur,Astromelia,Astromelia Exportación,Premium,408,1.21,Exportación Europa,Cliente_32,Carta de Crédito,Pendiente,227.75,Caja Master,22.14,2.7,80,18,0603.11.00,Aprobado,Florverde,FINCA-2,5,El asesor comercial fue grosero al teléfono,0,0,SI,NO,721.43,Reclamo
FAC-100028,2025-11-29,Medellín,Rionegro,Hortensia,Hortensia Exportación,Segunda,3432,0.92,Exportación Europa,Cliente_50,Carta de Crédito,En Tránsito,296.71,Caja Master,16.25,4.9,97,19,0603.11.00,Rechazado,Ninguno,FINCA-5,1,Solicito copia del certificado fitosanitario de exportación,0,0,NO,SI,3454.15,Petición
FAC-100029,2025-12-26,Pereira,Dosquebradas,Clavel,Clavel Exportación,Segunda,3876,1.1,E-commerce,Cliente_26,Tarjeta de Crédito,Retenido en Aduana,106.37,Ramo Individual,43.44,3.4,92,20,0603.12.00,Aprobado,Florverde,FINCA-1,2,Faltaron 5 docenas de claveles en la caja master,0,0,NO,SI,4369.97,Petición
FAC-100030,2025-10-07,Medellín,Valle de Aburrá,Girasol,Girasol Exportación,Premium,4632,0.16,Mercado Local,Cliente_45,Transferencia Bancaria,En Tránsito,166.79,Ramo Individual,76.23,7.1,97,18,0603.11.00,Aprobado,Ninguno,FINCA-2,1,Cobro injustificado de tarifa logística en la factura,0,0,SI,NO,907.91,Reclamo
FAC-100031,2025-08-03,Bogotá,Zona Norte,Crisantemo,Crisantemo Exportación,Premium,3396,0.45,Exportación Europa,Cliente_42,PayPal,Retenido en Aduana,253.82,Caja Master,10.86,4.4,81,21,0603.11.00,Rechazado,Florverde,FINCA-5,3,Pongan un centro de acopio más cercano a Rionegro,0,24,SI,SI,1782.02,Reclamo
FAC-100032,2025-04-23,Pereira,Zona Cafetera,Crisantemo,Crisantemo Exportación,Segunda,1488,0.24,E-commerce,Cliente_31,Transferencia Bancaria,En Tránsito,273.29,Caja Master,59.45,2.2,86,8,0603.11.00,Rechazado,Florverde,FINCA-4,5,Petición de estado de cuenta del último mes,0,0,NO,SI,630.41,Petición
FAC-100033,2025-08-18,Medellín,Rionegro,Orquídea,Orquídea Exportación,Estándar,300,0.68,Distribuidor Mayorista,Cliente_43,Efectivo,Cancelado,166.14,Ramo Individual,28.11,3.0,81,14,0603.11.00,Rechazado,Ninguno,FINCA-5,1,Demora de más de 3 horas en la línea de atención,0,0,SI,SI,370.14,Reclamo
FAC-100034,2025-10-29,Cali,Palmira,Astromelia,Astromelia Exportación,Segunda,3852,2.39,Exportación Europa,Cliente_34,Efectivo,Entregado,89.86,Ramo Individual,69.9,7.8,77,11,0603.12.00,Rechazado,Rainforest Alliance,FINCA-3,3,Requiero catálogo de nuevas variedades de hortensias,0,0,SI,SI,9296.14,Reclamo
FAC-100035,2025-05-23,Bogotá,Sabana Centro,Orquídea,Orquídea Exportación,Estándar,4884,0.24,Mercado Local,Cliente_29,Transferencia Bancaria,Entregado,295.32,Procon (Balde),13.1,8.3,92,17,0603.11.00,Rechazado,Rainforest Alliance,FINCA-4,3,Pongan un centro de acopio más cercano a Rionegro,5,0,SI,SI,1467.48,Reclamo
FAC-100036,2026-02-19,Pereira,Zona Cafetera,Hortensia,Hortensia Exportación,Premium,5472,1.05,Mercado Local,Cliente_14,Transferencia Bancaria,Pendiente,266.41,Ramo Individual,43.87,6.0,85,19,0603.11.00,Rechazado,Florverde,FINCA-3,4,Petición de estado de cuenta del último mes,0,0,NO,SI,6012.01,Petición
FAC-100037,2026-03-22,Cali,Palmira,Orquídea,Orquídea Exportación,Estándar,1824,1.25,E-commerce,Cliente_33,Carta de Crédito,Pendiente,56.12,Ramo Individual,9.79,6.8,85,12,0603.11.00,Rechazado,Florverde,FINCA-5,3,Solicito copia del certificado fitosanitario de exportación,0,0,SI,SI,2336.12,Reclamo
FAC-100038,2025-01-04,Cali,Zona Industrial,Astromelia,Astromelia Exportación,Premium,4704,2.15,Exportación Europa,Cliente_49,Efectivo,Entregado,157.59,Procon (Balde),6.72,2.3,90,18,0603.12.00,Aprobado,Florverde,FINCA-5,3,Sugiero habilitar pagos con criptomonedas para exportación,0,0,NO,NO,10271.19,Sugerencia
FAC-100039,2026-01-24,Bogotá,Sabana Centro,Crisantemo,Crisantemo Exportación,Estándar,540,2.44,Exportación EE.UU.,Cliente_34,PayPal,Cancelado,131.12,Procon (Balde),24.65,3.2,89,12,0603.12.00,Rechazado,Ninguno,FINCA-5,4,Requiero catálogo de nuevas variedades de hortensias,0,24,NO,SI,1448.72,Reclamo
FAC-100040,2026-02-17,Bogotá,Zona Norte,Girasol,Girasol Exportación,Estándar,1416,0.39,Mercado Local,Cliente_4,Transferencia Bancaria,Pendiente,236.98,Procon (Balde),25.11,4.9,86,11,0603.12.00,Aprobado,Florverde,FINCA-4,1,Petición de estado de cuenta del último mes,0,0,NO,NO,789.22,Sugerencia
FAC-100041,2025-03-23,Bogotá,Sabana Occidente,Rosa,Rosa Exportación,Segunda,1764,0.99,Distribuidor Mayorista,Cliente_8,Efectivo,Retenido en Aduana,223.11,Ramo Individual,19.84,3.4,77,12,0603.12.00,Aprobado,Rainforest Alliance,FINCA-4,3,Pongan un centro de acopio más cercano a Rionegro,1,0,SI,SI,1969.47,Reclamo
FAC-100042,2025-12-24,Medellín,Valle de Aburrá,Astromelia,Astromelia Exportación,Premium,4224,1.7,Mercado Local,Cliente_7,Transferencia Bancaria,Retenido en Aduana,151.65,Procon (Balde),28.42,4.0,98,12,0603.12.00,Rechazado,Florverde,FINCA-3,4,Sugiero habilitar pagos con criptomonedas para exportación,0,24,NO,SI,7332.45,Reclamo
FAC-100043,2025-08-05,Pereira,Dosquebradas,Rosa,Rosa Exportación,Premium,3672,1.37,Exportación EE.UU.,Cliente_5,Tarjeta de Crédito,Cancelado,35.64,Caja Master,53.01,2.7,85,14,0603.11.00,Aprobado,Ninguno,FINCA-3,4,Demora de más de 3 horas en la línea de atención,7,0,NO,NO,5066.28,Queja
FAC-100044,2025-06-24,Medellín,Rionegro,Clavel,Clavel Exportación,Segunda,192,1.88,Mercado Local,Cliente_14,Transferencia Bancaria,Entregado,248.36,Ramo Individual,39.72,8.2,84,7,0603.11.00,Aprobado,Ninguno,FINCA-4,1,Pongan un centro de acopio más cercano a Rionegro,1,0,SI,NO,609.32,Reclamo
FAC-100045,2025-05-23,Bogotá,Sabana Occidente,Clavel,Clavel Exportación,Estándar,3696,2.09,E-commerce,Cliente_3,Efectivo,Pendiente,64.02,Caja Master,74.88,4.2,89,10,0603.11.00,Aprobado,Florverde,FINCA-1,4,La rosa llegó marchita y sin cadena de frío,0,0,NO,NO,7788.66,Reclamo
FAC-100046,2025-03-21,Medellín,Valle de Aburrá,Astromelia,Astromelia Exportación,Segunda,4848,0.39,E-commerce,Cliente_42,PayPal,Entregado,250.64,Ramo Individual,61.69,2.3,81,5,0603.11.00,Aprobado,Rainforest Alliance,FINCA-1,3,La rosa llegó marchita y sin cadena de frío,0,0,SI,NO,2141.36,Reclamo
FAC-100047,2025-04-21,Cali,Palmira,Orquídea,Orquídea Exportación,Estándar,2772,1.36,Exportación EE.UU.,Cliente_23,Tarjeta de Crédito,Pendiente,227.88,Ramo Individual,14.89,4.3,91,7,0603.11.00,Aprobado,Ninguno,FINCA-4,3,Faltaron 5 docenas de claveles en la caja master,0,48,NO,NO,3997.8,Reclamo
FAC-100048,2026-05-06,Cali,Yumbo,Hortensia,Hortensia Exportación,Segunda,4032,1.63,Exportación EE.UU.,Cliente_12,Carta de Crédito,En Tránsito,78.12,Caja Master,79.12,5.1,95,14,0603.12.00,Rechazado,Florverde,FINCA-1,1,El asesor comercial fue grosero al teléfono,0,0,NO,SI,6650.28,Queja
FAC-100049,2026-01-26,Cali,Yumbo,Rosa,Rosa Exportación,Premium,516,1.96,E-commerce,Cliente_44,Tarjeta de Crédito,Retenido en Aduana,241.88,Ramo Individual,27.96,6.1,96,14,0603.11.00,Aprobado,Florverde,FINCA-2,4,Requiero catálogo de nuevas variedades de hortensias,7,0,SI,SI,1253.24,Reclamo
FAC-100050,2025-06-22,Pereira,Dosquebradas,Orquídea,Orquídea Exportación,Premium,5172,1.34,E-commerce,Cliente_38,Efectivo,Entregado,71.03,Caja Master,21.77,5.7,79,17,0603.11.00,Rechazado,Ninguno,FINCA-4,5,Deberían implementar empaques biodegradables,0,24,SI,SI,7001.51,Reclamo
FAC-100051,2025-02-22,Bogotá,Zona Sur,Rosa,Rosa Exportación,Premium,3840,2.28,Mercado Local,Cliente_10,Transferencia Bancaria,Cancelado,292.96,Ramo Individual,71.16,4.8,83,16,0603.11.00,Rechazado,Ninguno,FINCA-4,4,Demora de más de 3 horas en la línea de atención,6,0,SI,SI,9048.16,Reclamo
FAC-100052,2025-02-17,Cali,Zona Industrial,Orquídea,Orquídea Exportación,Estándar,3036,0.94,Exportación Europa,Cliente_14,PayPal,Entregado,29.53,Ramo Individual,72.71,6.7,92,21,0603.11.00,Rechazado,Ninguno,FINCA-2,2,Petición de estado de cuenta del último mes,0,0,SI,SI,2883.37,Reclamo
FAC-100053,2025-07-14,Medellín,Rionegro,Girasol,Girasol Exportación,Premium,3780,1.12,Distribuidor Mayorista,Cliente_34,PayPal,En Tránsito,121.46,Caja Master,70.43,4.6,83,20,0603.12.00,Aprobado,Rainforest Alliance,FINCA-1,2,Pongan un centro de acopio más cercano a Rionegro,0,0,SI,NO,4355.06,Reclamo
FAC-100054,2025-02-19,Medellín,Rionegro,Girasol,Girasol Exportación,Premium,3096,1.16,Distribuidor Mayorista,Cliente_15,PayPal,Entregado,348.34,Ramo Individual,10.45,3.6,81,8,0603.11.00,Aprobado,Rainforest Alliance,FINCA-1,5,Solicito copia del certificado fitosanitario de exportación,0,0,SI,NO,3939.7,Reclamo
FAC-100055,2025-07-03,Medellín,Guarne,Clavel,Clavel Exportación,Premium,5448,1.82,E-commerce,Cliente_24,PayPal,Pendiente,346.02,Procon (Balde),56.17,6.1,86,7,0603.12.00,Rechazado,Florverde,FINCA-5,4,Deberían implementar empaques biodegradables,0,0,SI,SI,10261.38,Reclamo
FAC-100056,2026-03-10,Bogotá,Sabana Centro,Astromelia,Astromelia Exportación,Segunda,5304,2.03,Exportación Europa,Cliente_11,Tarjeta de Crédito,Cancelado,126.23,Procon (Balde),7.64,3.1,91,21,0603.11.00,Rechazado,Ninguno,FINCA-1,1,La rosa llegó marchita y sin cadena de frío,0,0,NO,SI,10893.35,Reclamo
FAC-100057,2025-06-26,Pereira,Zona Cafetera,Crisantemo,Crisantemo Exportación,Segunda,5760,2.15,Mercado Local,Cliente_10,PayPal,Pendiente,223.66,Procon (Balde),40.82,7.6,96,14,0603.12.00,Aprobado,Florverde,FINCA-5,1,Deberían implementar empaques biodegradables,0,24,SI,NO,12607.66,Reclamo
FAC-100058,2025-11-06,Pereira,Dosquebradas,Girasol,Girasol Exportación,Estándar,5160,0.66,Mercado Local,Cliente_14,Carta de Crédito,En Tránsito,79.93,Ramo Individual,47.18,2.0,76,6,0603.12.00,Aprobado,Rainforest Alliance,FINCA-5,1,Deberían implementar empaques biodegradables,0,0,SI,NO,3485.53,Reclamo
FAC-100059,2025-05-16,Pereira,Dosquebradas,Orquídea,Orquídea Exportación,Segunda,5616,0.45,Distribuidor Mayorista,Cliente_30,Transferencia Bancaria,Pendiente,298.66,Procon (Balde),76.18,4.2,90,5,0603.12.00,Aprobado,Rainforest Alliance,FINCA-3,3,El asesor comercial fue grosero al teléfono,0,0,NO,NO,2825.86,Queja
FAC-100060,2026-02-18,Medellín,Guarne,Clavel,Clavel Exportación,Estándar,3648,1.39,Exportación EE.UU.,Cliente_32,PayPal,Pendiente,49.4,Procon (Balde),70.93,1.9,79,5,0603.11.00,Aprobado,Rainforest Alliance,FINCA-4,3,Mala atención en el counter de despacho,0,0,SI,NO,5120.12,Reclamo
FAC-100061,2025-01-23,Bogotá,Zona Sur,Orquídea,Orquídea Exportación,Estándar,5508,0.84,Distribuidor Mayorista,Cliente_22,Tarjeta de Crédito,En Tránsito,101.16,Procon (Balde),68.07,2.8,82,9,0603.11.00,Aprobado,Ninguno,FINCA-5,3,Demora de más de 3 horas en la línea de atención,0,0,SI,NO,4727.88,Reclamo
FAC-100062,2026-01-09,Medellín,Valle de Aburrá,Rosa,Rosa Exportación,Premium,3108,0.8,Distribuidor Mayorista,Cliente_3,Transferencia Bancaria,Retenido en Aduana,277.65,Ramo Individual,26.36,3.6,77,19,0603.11.00,Aprobado,Rainforest Alliance,FINCA-4,2,Faltaron 5 docenas de claveles en la caja master,0,0,SI,SI,2764.05,Reclamo
FAC-100063,2025-08-24,Bogotá,Zona Norte,Hortensia,Hortensia Exportación,Premium,948,1.64,E-commerce,Cliente_18,Tarjeta de Crédito,Retenido en Aduana,112.3,Procon (Balde),76.59,8.9,95,15,0603.11.00,Aprobado,Ninguno,FINCA-2,4,Cobro injustificado de tarifa logística en la factura,0,0,SI,SI,1667.02,Reclamo
FAC-100064,2025-10-02,Medellín,La Ceja,Girasol,Girasol Exportación,Premium,5280,0.23,Exportación EE.UU.,Cliente_19,Transferencia Bancaria,En Tránsito,217.98,Ramo Individual,56.81,5.4,90,14,0603.12.00,Aprobado,Florverde,FINCA-2,1,Deberían implementar empaques biodegradables,0,0,NO,NO,1432.38,Sugerencia
FAC-100065,2025-03-05,Medellín,Guarne,Rosa,Rosa Exportación,Estándar,1788,1.46,Distribuidor Mayorista,Cliente_34,Carta de Crédito,Cancelado,261.85,Caja Master,51.19,3.2,86,8,0603.12.00,Rechazado,Ninguno,FINCA-2,5,Demora de más de 3 horas en la línea de atención,1,0,NO,SI,2872.33,Queja
FAC-100066,2026-05-14,Pereira,Dosquebradas,Clavel,Clavel Exportación,Segunda,2184,2.03,Distribuidor Mayorista,Cliente_2,Carta de Crédito,En Tránsito,259.42,Caja Master,32.65,8.2,75,20,0603.11.00,Aprobado,Ninguno,FINCA-2,2,La rosa llegó marchita y sin cadena de frío,7,0,SI,NO,4692.94,Reclamo
FAC-100067,2026-04-18,Cali,Yumbo,Clavel,Clavel Exportación,Premium,1056,1.13,Mercado Local,Cliente_26,PayPal,Pendiente,99.25,Ramo Individual,53.55,2.1,83,11,0603.11.00,Rechazado,Rainforest Alliance,FINCA-3,4,Faltaron 5 docenas de claveles en la caja master,2,0,SI,SI,1292.53,Reclamo
FAC-100068,2025-07-13,Cali,Zona Industrial,Hortensia,Hortensia Exportación,Premium,3528,0.92,Exportación EE.UU.,Cliente_42,Efectivo,Cancelado,290.19,Procon (Balde),60.07,5.7,76,6,0603.12.00,Rechazado,Rainforest Alliance,FINCA-3,4,Sugiero habilitar pagos con criptomonedas para exportación,0,0,SI,SI,3535.95,Reclamo
FAC-100069,2025-02-10,Pereira,Zona Cafetera,Rosa,Rosa Exportación,Premium,1764,1.26,E-commerce,Cliente_16,Efectivo,Retenido en Aduana,114.24,Ramo Individual,69.67,6.4,96,15,0603.12.00,Aprobado,Florverde,FINCA-4,5,Deberían implementar empaques biodegradables,0,0,SI,SI,2336.88,Reclamo
FAC-100070,2025-10-10,Bogotá,Zona Norte,Crisantemo,Crisantemo Exportación,Segunda,792,1.59,Mercado Local,Cliente_41,Transferencia Bancaria,En Tránsito,245.43,Caja Master,24.41,8.9,78,16,0603.11.00,Rechazado,Rainforest Alliance,FINCA-1,5,Requiero catálogo de nuevas variedades de hortensias,0,0,SI,SI,1504.71,Reclamo
FAC-100071,2025-05-31,Pereira,Zona Cafetera,Rosa,Rosa Exportación,Premium,1404,2.1,Mercado Local,Cliente_12,Transferencia Bancaria,Cancelado,108.96,Ramo Individual,35.71,7.9,96,13,0603.12.00,Rechazado,Rainforest Alliance,FINCA-2,5,Requiero catálogo de nuevas variedades de hortensias,0,0,SI,SI,3057.36,Reclamo
FAC-100072,2026-03-01,Pereira,Dosquebradas,Rosa,Rosa Exportación,Segunda,2340,2.05,Exportación Europa,Cliente_17,PayPal,Retenido en Aduana,47.0,Ramo Individual,31.18,6.3,95,18,0603.11.00,Aprobado,Florverde,FINCA-3,2,Pongan un centro de acopio más cercano a Rionegro,0,0,SI,SI,4844.0,Reclamo
FAC-100073,2025-11-18,Cali,Yumbo,Hortensia,Hortensia Exportación,Estándar,2508,2.16,Distribuidor Mayorista,Cliente_18,PayPal,Entregado,135.99,Caja Master,30.52,1.8,79,16,0603.11.00,Rechazado,Rainforest Alliance,FINCA-2,4,Requiero catálogo de nuevas variedades de hortensias,0,0,SI,SI,5553.27,Reclamo
FAC-100074,2025-11-13,Bogotá,Zona Norte,Rosa,Rosa Exportación,Premium,3864,0.81,Exportación EE.UU.,Cliente_36,PayPal,Pendiente,68.9,Procon (Balde),42.49,4.0,91,10,0603.11.00,Aprobado,Florverde,FINCA-1,2,Faltaron 5 docenas de claveles en la caja master,0,0,NO,NO,3198.74,Sugerencia
